Movie Title,Movie Release Year,IMDb Rating,Movie Duration,Movie Rating (MPA),Movie URL IMDb
1. The Shawshank Redemption,1994,9.3,2h 22m,R,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
2. The Godfather,1972,9.2,2h 55m,R,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
3. The Dark Knight,2008,9.0,2h 32m,PG-13,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
4. The Godfather Part II,1974,9.0,3h 22m,R,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
5. 12 Angry Men,1957,9.0,1h 36m,Approved,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
6. Schindler's List,1993,9.0,3h 15m,R,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6
7. The Lord of the Rings: The Return of the King,2003,9.0,3h 21m,PG-13,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7
8. Pulp Fiction,1994,8.9,2h 34m,R,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.8,2h 58m,PG-13,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
"10. The Good, the Bad and the Ugly",1966,8.8,2h 58m,Approved,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
11. Forrest Gump,1994,8.8,2h 22m,PG-13,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
12. Fight Club,1999,8.8,2h 19m,R,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_12
13. The Lord of the Rings: The Two Towers,2002,8.8,2h 59m,PG-13,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_13
14. Inception,2010,8.8,2h 28m,PG-13,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2h 4m,PG,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
16. The Matrix,1999,8.7,2h 16m,R,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
17. Goodfellas,1990,8.7,2h 25m,R,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
18. One Flew Over the Cuckoo's Nest,1975,8.7,2h 13m,R,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18
19. Se7en,1995,8.6,2h 7m,R,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_19
20. Spider-Man: Across the Spider-Verse,2023,8.7,2h 20m,PG,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_20
21. It's a Wonderful Life,1946,8.6,2h 10m,PG,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
22. Seven Samurai,1954,8.6,3h 27m,Not Rated,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_22
23. Interstellar,2014,8.7,2h 49m,PG-13,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_23
24. The Silence of the Lambs,1991,8.6,1h 58m,R,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_24
25. Saving Private Ryan,1998,8.6,2h 49m,R,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_25
26. City of God,2002,8.6,2h 10m,R,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26
27. Life Is Beautiful,1997,8.6,1h 56m,PG-13,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27
